comment,identity_attack,insult,obscene,severe_toxicity,sexual_explicit,threat,toxicity
"Bunu dedi ,, Aykhann,,",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fikir verməyin bunlar düzələn deyil,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Allah şəfa versin hamısına ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
İndi bilirsizİnci həmisə nə deyir kisiyə guvən yoxdusiz bizə guvənin,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Yanlış məlumat verirlər. Elə bir şey yoxdur. Mən də Bakıda yaşayıram.Bunlara o məlumatları kim verir?,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Rayonda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biz nə alsaq Estoniyadan alacağıq,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ay burda olsaydın din kardeşlerimiz derdiler‍,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Yalan deyirsən tapa bilməzzən,0.0,1.0,0.0,0.0,0.0,0.0,1.0
İkinizində adini birinci verecekdeyecem dunən ancaq Aslandan danisirdilar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turalizim nədi?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mən hardan bilirəm hardan məlumat alıram əcəb eliyirəm burda kim olur olsun ona isdisi soyuğu yoxdu bir platformanı üzdən irağlar pis yönlü işlədirsə orda sosial mediya günahkar deyil o sosial medyanı pisləyən varsa burada girməsin çünki hamısı bir biriylə əlaqəlidi,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1 2 neferdi hani,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O müqeddes dediyiniz kitabıda senin kimi menim kimi insan yazıb ,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Bu paşik ücün pisdi onları dəstəyləyirsə deməli sülh olmayacağ,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Xəbərin yoxdu onnan ? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nərmanov montin tərəfdə qalan kimsə var ? qəribə qəribə səsdər gəlir havadan nəsə,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Çevik nəzarət alayı,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 blaa,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Mübahisə etmə demisəm əmiğ,0.0,1.0,0.0,0.0,0.0,0.0,1.0
A menlıyden danısan sexsıye yazmısam bax ananı sıkım,0.0,1.0,1.0,0.0,1.0,0.0,1.0
Girmez,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bizim xeyrimizedi obirisi oyun 4-2 udmuşug,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ala sen menim heyatmi yasiyiesanli mende sağ üst:(,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Vat e fak,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Yanıb tökülüre masqası cırılıb camaatı şantaj eliyib pul ala bilmir,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Bilmiremaa kimdise qabagi dusur uje bizimki qaldi gelen bahara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qişda qar olarda.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ci heyyət elə dediyimdi yəni əsas güclülər yox biraz zəiflər də olur içində üçüncü biraz qəribə çıxır ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola biler tacikde rusyada yasiyirdi.Azerbaycan ogeder ermeni tulasi yasiyirki,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Yaşayaq görek,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc nc mənim yerime kecmeye calisirsan hiss edirem,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allah ruzivisi versin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niyə elə deyirsən Cahil olma O uşaqların günahı nədi ,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Mən də onu deyirəmdə, ortada fakt uşaqlar qətlə yetirilir",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beləcə ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soxanmarsan sen baxmisan,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Yat benzeme yat,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Nece yasin var snein,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalinnan qara daş,0.0,0.0,1.0,0.0,0.0,0.0,1.0
qol yedik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hə Məsutu cox bele laiqsiz sekilde cixartdilar e kinodan)),0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Senin de icinde bi siyonist sevgisi varr,yaxshi gorekk",0.0,1.0,0.0,0.0,0.0,0.0,1.0
Ondanda elave bunlarla bir omur yoxe esirlerde kecse birge yasayis alinmaze nede olmayacag vessalam bitdi bunlar bizimcun,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Yenə gicleyir paşik,0.0,1.0,1.0,0.0,0.0,0.0,1.0
"Eyni sizin kimi,manqurtlaşdırılmışlardansız,beyninizi ""dinlə"" yuyublar,insanları öldürmək yaxşı bir şey kimi fəxrlə danışırsız,bu din deyil bu kafirlikdir bu Allahsızlıqdır,bu canilikdir və ermənilikdir. Sizində bunlardan bir fərqiniz yoxdur.",1.0,1.0,0.0,0.0,0.0,0.0,1.0
Priqramla tanisini soyundurum? Yaz knda,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Suriyalılar ühahhaah,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Ne dexlisi? Ilham Eliyev gedib nese etse pis birsey sensen cavab veren?,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ya vidyosu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qardaş bildiyim qədəriylə Xəzər Türkləri yahudi idi elə?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bize gel demirem zaten evinizde zıbarın yatın aaaaaa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hərbi dərslərdə muəllim oz tarixcəsini danisir ancaq‍,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dövlətə yox, anası erməni sahil babayevə göstərmək lazımdı. Çünki bu işdə o dövlətə qoz qoymur, nə bilir onuda eliyir",0.0,1.0,1.0,0.0,0.0,0.0,1.0
Türk istəsə dağıdar onları. Onlar sadəcə amerikanin silahları ilə döyüşür,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Davay indi getdüz,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Pulsuz ellem ama başa duşezsizse,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Sənin kimisi yoxdu,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Baxmaga ərinirəm ona görə dedim kimsə mənlə tanış olammaz bıçaq çıxaram gərəy,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Hamı yaman agresivdi ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yene başladı boş boş danışmağa,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gör kim kime trol deyir,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Delxandı ee,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ƏlaAllah rehmet elesin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"O Teroristler Ora Deqiqe Be Saniyyesi Ile Girmisdiler, Yoxsa Ele Herkesi Qirardilarda ,",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vermə,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onlar ancaq monitor arxası asır kəsir :),0.0,1.0,0.0,0.0,0.0,0.0,1.0
Quşlar yuvadan atır balasın,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allah xeyir verməsin zəlil eləsin,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Ona goreki cahil erebleri verib qabaga, tulku kimi onlarin arxasinda gizlenir iran",1.0,1.0,0.0,0.0,0.0,0.0,1.0
Qar gönderin))),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bunlarin koku kesilsin. Ozu kimi mundar millet yoxdu,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Sabah dava eliyənə söyüş var ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktivler hardaiz bosalaq,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Düşünmək müzakirə etməy mənasizdi elələrini yerindece cəzalandırın vəssalam,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Mende oldurecem erimi bezmisem day ,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2 gündü əlləşirəm olmur axı,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bu soxa soxda bu da həsənə soxacaq diyəsən. Əsl həsənsoxdu onda olacaq,0.0,1.0,1.0,0.0,1.0,0.0,1.0
Mende onu deyirəm hain bot,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Saba yadıma sal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onda Camaat Babaların buraxsn bayraki get neynirsen ele,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Normaldır və çox gözəldə oyun gedir,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tramp tırka verir deyir ordu göndərin,0.0,1.0,0.0,0.0,0.0,0.0,1.0
maxe senide geceynen goturere ehtiyatli ol,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Yəqin çevrəsində soyunub çxanlar arasinda 1 ci yer tutub mən onnan gözələm,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Surtesen uzune,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Ənkələri bu olub?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Men ozum namaz qilanam bele adini haci qoyup bos bos danisan ""din adami"" ucbatina namaza gelmey istiyen insanlarida soyudurlar iranin tulasi olanda bele olacaqda",1.0,1.0,0.0,0.0,0.0,0.0,1.0
Nəynən ?? Bir belə deyənləri başa düşmürəm birdə deyirlər Rusiya istəsə Ukraynani bir günü alar dəyərləri ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qaşınırlar,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Menede at qaqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azərbaycanlıların olması ehtimalı insanı pis edir,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Ele yaxsudievlenenlerin əli bala batibbir qalib sənin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allahın insanları yaradmaq xaricinde onlarin uzerinde bir tesiri yoxdu cunku,0.0,0.0,0.0,0.0,0.0,0.0,0.0
İdarəçilik ama ona aiddi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nifrət edirəm həmcinsinə belə edən qızcıgazlardan,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Seher kahvalti bahadida ona gore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Təbrizi türk torpağı hesab etmeyenin küçukden fərqi yoxdur,0.0,1.0,0.0,0.0,0.0,0.0,1.0
İranın başı qaçıb deyəsən ,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Başın buraxmışdım, gedim birin yandırım",0.0,1.0,0.0,0.0,0.0,0.0,1.0
Məndə sənin kimi fikirləşirəm ama şit qızlardan xoşum gəlmir,0.0,1.0,0.0,0.0,0.0,0.0,1.0
103 deyil skoru?,0.0,0.0,1.0,0.0,0.0,0.0,1.0
"Menim gözümde deyeri qalmayibsa, diger insanlardan da ferqi yoxdur, uzağı üzümü çevirerem başqa terefe",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bu gün 2 dənə video çəkiblər ujə),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evden xeberi yoxdu elesin,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Hayir hic bi sorun yok ama sorun senin asil turk olup olmadigindan)),1.0,1.0,0.0,0.0,0.0,0.0,1.0
Hə Ağıllı Ol,0.0,1.0,0.0,0.0,0.0,0.0,1.0
real,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sənin ağzın niyə əyilib,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Proqramla şekil lüt edrem,0.0,0.0,0.0,0.0,1.0,0.0,1.0
YARPAQ DOLMASİ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sənin hər şeyini skim,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Hə qalıb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hslal olsun. Buda beyenmediyiniz rus. Bizde eksine inkiwaf etdirirler. Bunlari gullelemey lazimdi,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Vurajam onu,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Bunun peyceri yoxdu, mm?..)))",0.0,1.0,1.0,0.0,0.0,0.0,1.0
Erməni Qarabağı alanda niyə bir yerdə durmadıq olarda ona görə,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Gören ermenilerde qalan silahlari daşimirlarki?,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Bilmiyorum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
israilin terorrorunu lenetleyirem,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Məni buturib zəhərliyib nazasazam novbəti hədəf siz siz diqqətli olun)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
İtdi axı it,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Hakinizi helal edin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yehya Sinvarin halvasını bisirirem.Mesgul etme meni,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ümid edək ama sülhlə olası bir şey deyil erməni oranı verməz,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bu millet duzelesi deyil. Ona görə də ən yaxşısi getmək. Sozunu deyirsen seheri günü seni narkaman cixarirlar,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Pencereni bağlıyın ala üşüdüm,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Aynurənin fikirlərinə qatılıram,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hee elbetdeki abi)) oranin atmosferi tamam.ferlqidiye)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qabağ xanımlar çoxu indi guya muasir olublar,0.0,1.0,0.0,0.0,0.0,0.0,1.0
İran qruplaşmalarını vururlar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xestedilere‍️,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Ə gözümnən yaş gəldi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sarı başım, kaş seçilsə adamım mənim",0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 qaqaş,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fenerbahçe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basqa tema tapmaduz?,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Soyuducu yerinə sənin Mikser mədəndə saxlıyaydı hə?,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8 den atb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bu millət sonra deyir acından ölürük bunun nəyinə o qədər pul atrsız axı tiktokda o qədər kasıb var canlı acr olara bidene gül atanda yoxdu ee bled,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Yaxşi olar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onlarin soyuga davami var axi))),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Oldu, düz edirsən, yaşın yəqin bu sözləri deməyinə imkan verir, yaşın keçdikcə öyrənəssən, Allah hidayet eləsin səni",0.0,1.0,0.0,0.0,0.0,0.0,1.0
kimin arvadinin gotune girsin,0.0,1.0,1.0,0.0,1.0,0.0,1.0
"Partdiyir siiim das,kimidi",0.0,0.0,1.0,0.0,0.0,0.0,1.0
Canlı pesi isdəyirəm,0.0,0.0,1.0,0.0,0.0,0.0,1.0
İndiden hazır olun məğlubiyyəte),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gijdıllax ona niyə diyirsən belədəki alır hə,0.0,1.0,1.0,0.0,0.0,0.0,1.0
"Hə, bu il dəyişib.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Az qalmışdı admınle dalaşdırım sizi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
